6.497733e-01	2.574117e+00	9.132653e-01
8.755554e-01	1.094867e+02	1.093233e+00
1.169317e+00	2.455448e+00	1.291684e+00


4.873065e-01	2.512694e+00	7.000000e-01
3.189998e+00	8.329229e+01	2.596857e+00
1.000000e+00	2.265848e+00	1.022174e+00


6.763438e-01	2.303998e+00	1.200000e+00
1.888051e+00	8.470576e+01	2.799977e+00
4.947720e-01	2.582640e+00	6.989897e-01


1.190855e+00	3.142024e+00	1.000000e+00
2.684763e+00	8.123686e+01	2.792345e+00
7.974565e-01	3.477406e+00	5.012175e-01


5.000000e-01	2.725761e+00	6.809945e-01
3.214405e+00	8.323941e+01	2.231471e+00
1.100000e+00	3.000000e+00	7.568006e-01


7.000000e-01	3.126555e+00	7.069304e-01
3.077306e+00	8.289851e+01	2.600000e+00
8.916835e-01	3.034762e+00	9.000000e-01


2.000000e-01	3.298356e+00	4.981275e-01
2.700000e+00	8.373549e+01	2.298249e+00
8.000000e-01	3.206422e+00	1.018867e+00


3.380019e+01	4.226045e+01	3.029055e+01
4.840117e+01	2.720818e+02	5.087706e+01
3.227237e+01	4.367897e+01	3.406481e+01


5.899282e+00	6.402357e+00	4.854026e+00
8.291931e+00	6.215258e+00	8.605992e+00
9.418199e+00	6.483052e+00	8.887687e+00


